,Unnamed: 0.1,Unnamed: 0,b1,b2,theta_upper,theta_lower,fc,fd,pi,CC,DD,CD,DC,P1,P2,Mixed
316750,316750,316750.0,0.05,1.0,0.85,0.15,1,1,0.35,False,False,True,True,0.027,0.027,True
316751,316751,316751.0,0.05,1.0,0.9,0.15,1,1,0.35,False,False,True,True,0.004,0.004,True
316764,316764,316764.0,0.05,1.0,0.75,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
316765,316765,316765.0,0.05,1.0,0.8,0.2,1,1,0.35,False,False,True,True,0.023,0.023,True
316778,316778,316778.0,0.05,1.0,0.7,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
316779,316779,316779.0,0.05,1.0,0.75,0.25,1,1,0.35,False,False,True,True,0.017,0.017,True
316791,316791,316791.0,0.05,1.0,0.65,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
316792,316792,316792.0,0.05,1.0,0.7,0.3,1,1,0.35,False,False,True,True,0.007,0.007,True
316803,316803,316803.0,0.05,1.0,0.6,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
316814,316814,316814.0,0.05,1.0,0.55,0.4,1,1,0.35,False,False,True,True,0.049,0.049,True
316824,316824,316824.0,0.05,1.0,0.5,0.45,1,1,0.35,False,False,True,True,0.052,0.052,True
319429,319429,319429.0,0.1,0.75,1.0,0.0,1,1,0.35,False,False,True,True,0.005,0.005,True
319502,319502,319502.0,0.1,0.75,0.4,0.25,1,1,0.35,False,False,True,True,0.049,0.049,True
319515,319515,319515.0,0.1,0.75,0.35,0.3,1,1,0.35,False,False,True,True,0.052,0.052,True
319638,319638,319638.0,0.1,0.8,0.95,0.0,1,1,0.35,False,False,True,True,0.002,0.002,True
319639,319639,319639.0,0.1,0.8,1.0,0.0,1,1,0.35,False,False,True,True,0.02,0.02,True
319699,319699,319699.0,0.1,0.8,0.5,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
319713,319713,319713.0,0.1,0.8,0.45,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
319726,319726,319726.0,0.1,0.8,0.4,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
319848,319848,319848.0,0.1,0.85,0.95,0.0,1,1,0.35,False,False,True,True,0.018,0.018,True
319849,319849,319849.0,0.1,0.85,1.0,0.0,1,1,0.35,False,False,True,True,0.035,0.035,True
319895,319895,319895.0,0.1,0.85,0.6,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
319896,319896,319896.0,0.1,0.85,0.65,0.15,1,1,0.35,False,False,True,True,0.017,0.017,True
319910,319910,319910.0,0.1,0.85,0.55,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
319911,319911,319911.0,0.1,0.85,0.6,0.2,1,1,0.35,False,False,True,True,0.007,0.007,True
319924,319924,319924.0,0.1,0.85,0.5,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
319937,319937,319937.0,0.1,0.85,0.45,0.3,1,1,0.35,False,False,True,True,0.051,0.051,True
319949,319949,319949.0,0.1,0.85,0.4,0.35,1,1,0.35,False,False,True,True,0.052,0.052,True
320057,320057,320057.0,0.1,0.9,0.9,0.0,1,1,0.35,False,False,True,True,0.017,0.017,True
320058,320058,320058.0,0.1,0.9,0.95,0.0,1,1,0.35,False,False,True,True,0.034,0.034,True
320059,320059,320059.0,0.1,0.9,1.0,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
320073,320073,320073.0,0.1,0.9,0.75,0.05,1,1,0.35,False,False,True,True,0.007,0.007,True
320090,320090,320090.0,0.1,0.9,0.7,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
320091,320091,320091.0,0.1,0.9,0.75,0.1,1,1,0.35,False,False,True,True,0.025,0.025,True
320106,320106,320106.0,0.1,0.9,0.65,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
320107,320107,320107.0,0.1,0.9,0.7,0.15,1,1,0.35,False,False,True,True,0.02,0.02,True
320121,320121,320121.0,0.1,0.9,0.6,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
320122,320122,320122.0,0.1,0.9,0.65,0.2,1,1,0.35,False,False,True,True,0.012,0.012,True
320135,320135,320135.0,0.1,0.9,0.55,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
320148,320148,320148.0,0.1,0.9,0.5,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
320160,320160,320160.0,0.1,0.9,0.45,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
320268,320268,320268.0,0.1,0.95,0.95,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
320269,320269,320269.0,0.1,0.95,1.0,0.0,1,1,0.35,False,False,True,True,0.065,0.065,True
320284,320284,320284.0,0.1,0.95,0.8,0.05,1,1,0.35,False,False,True,True,0.05,0.05,True
320301,320301,320301.0,0.1,0.95,0.75,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
320302,320302,320302.0,0.1,0.95,0.8,0.1,1,1,0.35,False,False,True,True,0.027,0.027,True
